discipline,tier_key,tier_rank,tier_label
counterstrike,s-tier,1,Premier
counterstrike,a-tier,2,Majeur
counterstrike,b-tier,3,Intermediaire
counterstrike,c-tier,4,Mineur
counterstrike,d-tier,5,Amateur
counterstrike,s,1,Premier
counterstrike,a,2,Majeur
counterstrike,b,3,Intermediaire
counterstrike,c,4,Mineur
counterstrike,d,5,Amateur
counterstrike,1,1,Premier
counterstrike,2,2,Majeur
counterstrike,3,3,Intermediaire
counterstrike,4,4,Mineur
counterstrike,5,5,Amateur
dota2,1,1,Premier
dota2,2,2,Majeur
dota2,3,3,Intermediaire
dota2,4,4,Mineur
dota2,5,5,Amateur
